tribunal,grau,codigo_classe,codigo_formato,orgao_codigo,orgao_nome,data_julgamento,codigo_assunto,data_ajuizamento,tempo_julgamento,assunto_nivel1,assunto_nivel2,assunto_nivel3,assunto_nivel4,assunto_nivel5,classe_nivel1,classe_nivel2,classe_nivel3,classe_nivel4,classe_nivel5,numero_processo
TJRR,G1,1116,1,2785,VARA DA FAZENDA PÚBLICA,2010-06-21,9580,2002-11-27,2763,899,7681.0,9580.0,,,2,158.0,1116.0,,,00013185120028230060
TJRR,G1,1116,1,2785,VARA DA FAZENDA PÚBLICA,2005-05-27,6042,2002-11-27,912,14,6031.0,6033.0,6042.0,,2,158.0,1116.0,,,00013168120028230060
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-09-17,5946,2002-08-06,2964,14,5916.0,5946.0,,,2,158.0,1116.0,,,00461970220028230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-11-19,5946,2002-04-02,3153,14,5916.0,5946.0,,,2,158.0,1116.0,,,00313673120028230010
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 2º TITULAR,2018-02-20,7703,2002-11-20,5571,899,7681.0,7690.0,7703.0,,2,158.0,1116.0,,,00011249020028230047
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2015-09-25,5946,2001-03-07,5315,14,5916.0,5946.0,,,2,158.0,1116.0,,,00091961720018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-05-07,4113,14,5916.0,5946.0,,,2,158.0,1116.0,,,00096249620018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-09-17,5946,2002-04-03,3089,14,5916.0,5946.0,,,2,158.0,1116.0,,,00316427720028230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-09-30,5946,2002-01-24,4997,14,5916.0,5946.0,,,2,158.0,1116.0,,,00191404320018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-10-27,5946,2001-11-25,5084,14,5916.0,5946.0,,,2,158.0,1116.0,,,00095547920018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2015-09-18,5946,2002-01-28,4981,14,5916.0,5946.0,,,2,158.0,1116.0,,,00196306520018230010
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2012-11-15,7703,2002-11-01,3667,899,7681.0,7690.0,7703.0,,2,158.0,1116.0,,,00005540720028230047
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,2002-08-02,2930,14,5916.0,5946.0,,,2,158.0,1116.0,,,00455596620028230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2014-05-19,5946,2001-11-20,4563,14,5916.0,5946.0,,,2,158.0,1116.0,,,00097444220018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2014-07-03,7703,2001-11-26,4602,899,7681.0,7690.0,7703.0,,2,158.0,1116.0,,,00157003920018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-26,5946,2001-11-26,3256,14,5916.0,5946.0,,,2,158.0,1116.0,,,00095036820018230010
TJRR,G1,1116,1,2781,VARA DA FAZENDA PÚBLICA,2015-07-13,10540,2002-02-20,4891,14,5913.0,10540.0,,,2,158.0,1116.0,,,00007340720028230020
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-26,5946,2001-11-26,3256,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094655620018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,2002-01-04,3140,14,5916.0,5946.0,,,2,158.0,1116.0,,,00206791020028230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2010-11-20,5946,2001-11-26,3281,14,5916.0,5946.0,,,2,158.0,1116.0,,,00156094620018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,2001-11-27,3178,14,5916.0,5946.0,,,2,158.0,1116.0,,,00097938320018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2005-06-01,5946,2001-11-27,1282,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094647120018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2015-09-25,10395,2002-01-15,5001,9985,10394.0,10395.0,,,2,158.0,1116.0,,,00197519320018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-07-28,4031,14,5916.0,5946.0,,,2,158.0,1116.0,,,00096405020018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2006-07-24,5946,1999-07-29,2552,14,5916.0,5946.0,,,2,158.0,1116.0,,,00192512720018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-26,5946,2002-01-17,3204,14,5916.0,5946.0,,,2,158.0,1116.0,,,00192539420018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2010-07-07,5946,2002-01-17,3093,14,5916.0,5946.0,,,2,158.0,1116.0,,,00192711820018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,2001-11-28,3177,14,5916.0,5946.0,,,2,158.0,1116.0,,,00157263720018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,2001-11-29,3176,14,5916.0,5946.0,,,2,158.0,1116.0,,,00038083620018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-26,5946,1999-08-10,4095,14,5916.0,5946.0,,,2,158.0,1116.0,,,00189196020018230010
TJRR,G1,1116,1,2781,VARA DA FAZENDA PÚBLICA,2015-07-13,7689,2001-12-11,4962,899,7681.0,7688.0,7689.0,,2,158.0,1116.0,,,00018557020028230020
TJRR,G1,1116,1,2785,VARA DA FAZENDA PÚBLICA,2010-09-15,10429,2001-12-11,3200,9985,10421.0,10429.0,,,2,158.0,1116.0,,,00005684920028230060
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-10-27,10395,2002-07-19,4848,9985,10394.0,10395.0,,,2,158.0,1116.0,,,00432541220028230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-07-27,5971,2001-10-03,3219,14,5956.0,5971.0,,,2,158.0,1116.0,,,00191785520018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2015-06-11,5946,2001-10-03,4999,14,5916.0,5946.0,,,2,158.0,1116.0,,,00092386620018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2015-09-24,5952,2001-10-18,5089,14,5916.0,5952.0,,,2,158.0,1116.0,,,00030289620018230010
